nursery,geno,max_temp,fvfm,date
um,23y,33,0.658,2020-10
um,23y,33,0.654,2020-10
um,23y,32,0.67,2020-10
um,23y,32,0.709,2020-10
um,23y,30,0.677,2020-10
um,23y,30,0.624,2020-10
um,46y,35,0.287,2020-10
um,46y,35,0.42,2020-10
um,46y,36,0.29,2020-10
um,46y,36,0.232,2020-10
um,46y,37,0.117,2020-10
um,46y,37,0.14,2020-10
um,46y,34,0.441,2020-10
um,46y,34,0.446,2020-10
um,46y,33,0.679,2020-10
um,46y,33,0.686,2020-10
um,46y,32,0.616,2020-10
um,46y,32,0.641,2020-10
um,46y,30,0.705,2020-10
um,46y,30,0.686,2020-10
um,58y,35,0.258,2020-10
um,58y,35,0.308,2020-10
um,58y,36,0.205,2020-10
um,58y,36,0.296,2020-10
um,58y,37,0.248,2020-10
um,58y,37,0,2020-10
um,58y,38,0.188,2020-10
um,58y,38,0.205,2020-10
um,58y,34,0.547,2020-10
um,58y,34,0.591,2020-10
um,58y,33,0.623,2020-10
