"2020-10-07";"23:22:30";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:06:07";"SCHS";"";"Chart start ";""
"5";"2020-10-06";"21:06:08";"C";"";"File Nr. 404 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1935005";"2020-10-06";"21:38:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1946835";"2020-10-06";"21:38:34";"F";"9836";"36";"71";"0";"0.493";"0.0"
"1951005";"2020-10-06";"21:38:39";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1957255";"2020-10-06";"21:38:45";"F";"9837";"53";"89";"0";"0.404";"0.0"
"1961005";"2020-10-06";"21:38:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1964675";"2020-10-06";"21:38:52";"F";"9838";"23";"60";"0";"0.617";"0.0"
"1968005";"2020-10-06";"21:38:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1970845";"2020-10-06";"21:38:58";"F";"9839";"27";"60";"0";"0.550";"0.0"
"1974005";"2020-10-06";"21:39:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1978265";"2020-10-06";"21:39:06";"F";"9840";"78";"228";"0";"0.658";"0.0"
"1982005";"2020-10-06";"21:39:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1985135";"2020-10-06";"21:39:13";"F";"9841";"113";"190";"0";"0.405";"0.0"
"1989005";"2020-10-06";"21:39:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.7 ";""
"1993945";"2020-10-06";"21:39:21";"F";"9842";"65";"93";"0";"0.301";"0.0"
"1997005";"2020-10-06";"21:39:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"2001205";"2020-10-06";"21:39:29";"F";"9843";"42";"77";"0";"0.455";"0.0"
