,tileID,X,Picture,AOI,Notes.Corrections,Date,Timepoint,file,Tank,Y,Run,Source,Type,Genotype
1371,389G,409,8,19,,6/25/20,Initial,I_8,35B,0.597,1,Broward,A,20
1372,389G,408,14,3,,6/25/20,Final,F_14,35B,0.427,1,Broward,A,20
1377,390G,410,8,18,,6/25/20,Initial,I_8,35A,0.592,1,Broward,S,20
1378,390G,411,11,3,,6/25/20,Final,F_11,35A,0.412,1,Broward,S,20
1381,391G,413,8,17,,6/25/20,Initial,I_8,34A,0.603,1,Broward,S,20
1382,391G,412,5,5,,6/25/20,Final,F_5,34A,0.608,1,Broward,S,20
1387,392G,415,3,1,,6/25/20,Final,F_3,33A,0.408,1,Broward,S,20
1388,392G,414,8,16,,6/25/20,Initial,I_8,33A,0.58,1,Broward,S,20
1393,393G,418,20,1,,6/25/20,Final,F_20,36A,0.229,1,Broward,S,20
1394,393G,419,8,15,,6/25/20,Initial,I_8,36A,0.596,1,Broward,S,20
1399,394G,422,8,14,,6/25/20,Initial,I_8,35A,0.576,1,Broward,S,20
1400,394G,423,11,9,,6/25/20,Final,F_11,35A,0.463,1,Broward,S,20
1405,395G,426,8,13,,6/25/20,Initial,I_8,37A,0.578,1,Broward,S,20
1406,395G,427,26,1,,6/25/20,Final,F_26,37A,0,1,Broward,S,20
1411,396G,431,8,12,,6/25/20,Initial,I_8,32A,0.599,1,Broward,S,20
1412,396G,430,1,14,,6/25/20,Final,F_1,32A,0.549,1,Broward,S,20
1417,397G,434,5,4,,6/25/20,Final,F_5,34A,0.561,1,Broward,S,20
1418,397G,435,11,4,,6/25/20,Initial,I_11,34A,0.581,1,Broward,S,20
571,234G,1261,6,5,NA,6/26/20,Final,6_F,32.5A,0.62,2,Broward,A,2a
572,234G,1052,21,5,NA,6/26/20,Initial,21_I,32.5A,0.639,2,Broward,A,2a
577,235G,603,1,5,NA,6/26/20,Final,1_F,31.5A,0.642,2,Broward,A,2a
578,235G,923,17,16,NA,6/26/20,Initial,17_I,31.5A,0.653,2,Broward,A,2a
583,236G,1105,26,19,NA,6/26/20,Final,26_F,36.5A,0.143,2,Broward,A,2a
584,236G,916,17,9,NA,6/26/20,Initial,17_I,36.5A,0.643,2,Broward,A,2a
589,237G,913,17,6,NA,6/26/20,Initial,17_I,31.5B,0.651,2,Broward,A,2a
590,237G,1182,4,5,NA,6/26/20,Final,4_F,31.5B,0.644,2,Broward,A,2a
599,239G,926,17,19,NA,6/26/20,Initial,17_I,34.5B,0.651,2,Broward,A,2a
600,239G,853,16,7,NA,6/26/20,Final,16_F,34.5B,0.415,2,Broward,A,2a
613,242G,1124,28,7,NA,6/26/20,Final,28_F,36.5B,0.155,2,Broward,A,2a
614,242G,935,18,7,NA,6/26/20,Initial,18_I,36.5B,0.623,2,Broward,A,2a
627,245G,1373,9,16,NA,6/26/20,Final,9_F,33.5A,0.619,2,Broward,A,2a
628,245G,934,18,6,NA,6/26/20,Initial,18_I,33.5A,0.645,2,Broward,A,2a
637,247G,1323,8,4,NA,6/26/20,Final,8_F,32.5B,0.634,2,Broward,S,2a
638,247G,937,18,9,NA,6/26/20,Initial,18_I,32.5B,0.65,2,Broward,S,2a
643,248G,1092,26,6,NA,6/26/20,Final,26_F,36.5A,0.063,2,Broward,S,2a
644,248G,939,18,11,NA,6/26/20,Initial,18_I,36.5A,0.657,2,Broward,S,2a
649,249G,943,18,15,NA,6/26/20,Initial,18_I,33.5B,0.653,2,Broward,S,2a
650,249G,718,12,7,NA,6/26/20,Final,12_F,33.5B,0.611,2,Broward,S,2a
663,251G,965,19,5,NA,6/26/20,Initial,19_I,36.5B,0.641,2,Broward,S,2a
668,252G,936,18,8,NA,6/26/20,Initial,18_I,35.5B,0.649,2,Broward,S,2a
669,252G,1074,24,2,NA,6/26/20,Final,24_F,35.5B,0.224,2,Broward,S,2a
671,253G,1228,5,12,NA,6/26/20,Final,5_F,32.5A,0.65,2,Broward,S,2a
672,253G,940,18,12,NA,6/26/20,Initial,18_I,32.5A,0.662,2,Broward,S,2a
681,255G,823,15,17,NA,6/26/20,Final,15_F,34.5A,0.561,2,Broward,S,2a
682,255G,945,18,17,NA,6/26/20,Initial,18_I,34.5A,0.653,2,Broward,S,2a
687,256G,1327,8,8,NA,6/26/20,Final,8_F,32.5B,0.598,2,Broward,S,2a
688,256G,941,18,13,NA,6/26/20,Initial,18_I,32.5B,0.632,2,Broward,S,2a
1537,419G,1637,15,11,NA,6/28/20,Initial,15_I,36A,0.702,3,DT,S,2DT
1538,419G,1851,23,2,NA,6/28/20,Final,23_F,36A,0.224,3,DT,S,2DT
1547,420G,1913,4,6,NA,6/28/20,Final,4_F,32A,0.623,3,DT,S,2DT
1548,420G,1709,17,6,NA,6/28/20,Initial,17_I,32A,0.612,3,DT,S,2DT
1553,421G,2083,9,4,NA,6/28/20,Final,9_F,33A,0.614,3,DT,S,2DT
1554,421G,2033,7,14,NA,6/28/20,Initial,7_I,33A,0.637,3,DT,S,2DT
1559,422G,2034,7,15,NA,6/28/20,Initial,7_I,35A,0.62,3,DT,A,2DT
1560,422G,1739,18,16,NA,6/28/20,Final,18_F,35A,0.378,3,DT,A,2DT
1565,423G,1827,20,15,NA,6/28/20,Final,20_F,35B,0.458,3,DT,A,2DT
1566,423G,2024,7,5,NA,6/28/20,Initial,7_I,35B,0.613,3,DT,A,2DT
1571,424G,2021,7,2,NA,6/28/20,Initial,7_I,36B,0.583,3,DT,A,2DT
1572,424G,1879,28,1,NA,6/28/20,Final,28_F,36B,0.124,3,DT,A,2DT
1577,425G,1732,18,9,NA,6/28/20,Final,18_F,35A,0.408,3,DT,A,2DT
1578,425G,2020,7,1,NA,6/28/20,Initial,7_I,35A,0.595,3,DT,A,2DT
1582,426G,1852,23,3,NA,6/28/20,Final,23_F,36A,0.201,3,DT,A,2DT
1583,426G,2028,7,9,NA,6/28/20,Initial,7_I,36A,0.59,3,DT,A,2DT
1590,428G,2027,7,8,NA,6/28/20,Initial,7_I,36B,0.611,3,DT,A,2DT
1591,428G,1883,29,1,NA,6/28/20,Final,29_F,36B,0.214,3,DT,A,2DT
1595,429G,2019,7,6,NA,6/28/20,Final,7_F,32B,0.609,3,DT,A,2DT
1596,429G,2025,7,6,NA,6/28/20,Initial,7_I,32B,0.592,3,DT,A,2DT
1603,430G,1656,16,14,NA,6/28/20,Final,16_F,31B,0.634,3,DT,A,2DT
1604,430G,2029,7,10,NA,6/28/20,Initial,7_I,31B,0.608,3,DT,A,2DT
1609,431G,2080,9,1,NA,6/28/20,Final,9_F,33A,0.606,3,DT,S,2DT
1610,431G,2097,9,12,NA,6/28/20,Initial,9_I,33A,0.614,3,DT,S,2DT
1613,432G,2026,7,7,NA,6/28/20,Initial,7_I,34B,0.614,3,DT,S,2DT
1614,432G,1623,15,13,NA,6/28/20,Final,15_F,34B,0.508,3,DT,S,2DT
1619,433G,2059,8,20,NA,6/28/20,Final,8_F,33A,0.638,3,DT,S,2DT
1620,433G,2103,9,18,NA,6/28/20,Initial,9_I,33A,0.623,3,DT,S,2DT
1623,434G,1828,20,16,NA,6/28/20,Final,20_F,35B,0.377,3,DT,S,2DT
1624,434G,1676,16,14,NA,6/28/20,Initial,16_I,35B,0.632,3,DT,S,2DT
1627,435G,1666,16,4,NA,6/28/20,Initial,16_I,36B,0.604,3,DT,S,2DT
1628,435G,1874,26,16,NA,6/28/20,Final,26_F,36B,0.177,3,DT,S,2DT
1633,436G,1629,15,3,NA,6/28/20,Initial,15_I,32A,0.707,3,DT,S,2DT
1634,436G,1950,5,3,NA,6/28/20,Final,5_F,32A,0.643,3,DT,S,2DT
1639,437G,1628,15,2,NA,6/28/20,Initial,15_I,35B,0.705,3,DT,S,2DT
1640,437G,1825,20,13,NA,6/28/20,Final,20_F,35B,0.347,3,DT,S,2DT
1645,438G,1664,16,2,NA,6/28/20,Initial,16_I,33A,0.595,3,DT,S,2DT
1646,438G,2085,9,6,NA,6/28/20,Final,9_F,33A,0.602,3,DT,S,2DT
1649,439G,1641,15,15,NA,6/28/20,Initial,15_I,31A,0.707,3,DT,S,2DT
1650,439G,1790,2,10,NA,6/28/20,Final,2_F,31A,0.616,3,DT,S,2DT
1655,440G,1716,17,13,NA,6/28/20,Initial,17_I,31B,0.625,3,DT,S,2DT
1656,440G,1655,16,13,NA,6/28/20,Final,16_F,31B,0.634,3,DT,S,2DT
1725,458B,1461,10,5,NA,6/28/20,Initial,10_I,31A,0.534,3,Broward,S,3a
1726,458B,1782,2,2,NA,6/28/20,Final,2_F,31A,0.535,3,Broward,S,3a
1727,459B,1397,1,2,NA,6/28/20,Final,1_F,31A,0.567,3,Broward,S,3a
1728,459B,1470,10,14,NA,6/28/20,Initial,10_I,31A,0.598,3,Broward,S,3a
1731,460B,1465,10,9,NA,6/28/20,Initial,10_I,35A,0.534,3,Broward,S,3a
1732,460B,1698,17,15,NA,6/28/20,Final,17_F,35A,0.489,3,Broward,S,3a
1733,461B,1462,10,6,NA,6/28/20,Initial,10_I,35B,0.572,3,Broward,S,3a
1734,461B,1768,19,8,NA,6/28/20,Final,19_F,35B,0.535,3,Broward,S,3a
1735,462B,1684,17,1,NA,6/28/20,Final,17_F,35A,0.514,3,Broward,S,3a
1736,462B,1466,10,10,NA,6/28/20,Initial,10_I,35A,0.558,3,Broward,S,3a
1739,463B,1975,6,2,NA,6/28/20,Final,6_F,32B,0.502,3,Broward,S,3a
1740,463B,1468,10,12,NA,6/28/20,Initial,10_I,32B,0.501,3,Broward,S,3a
1741,464B,1648,16,6,NA,6/28/20,Final,16_F,31B,0.549,3,Broward,A,3a
1742,464B,2005,6,12,NA,6/28/20,Initial,6_I,31B,0.619,3,Broward,A,3a
1743,464B,1458,10,2,NA,6/28/20,Initial,10_I,31B,0.553,3,Broward,A,3a
1746,465B,1451,10,15,NA,6/28/20,Final,10_F,33B,0.583,3,Broward,A,3a
1747,465B,1457,10,1,NA,6/28/20,Initial,10_I,33B,0.549,3,Broward,A,3a
1748,466B,1646,16,4,NA,6/28/20,Final,16_F,31B,0.514,3,Broward,S,3a
1749,466B,1460,10,4,NA,6/28/20,Initial,10_I,31B,0.527,3,Broward,S,3a
1754,468B,1671,16,9,NA,6/28/20,Initial,16_I,36A,0.511,3,Broward,A,3a
1755,468B,1843,21,14,NA,6/28/20,Final,21_F,36A,0.119,3,Broward,A,3a
1757,469B,1507,12,2,NA,6/28/20,Final,12_F,34A,0.538,3,Broward,A,3a
1758,469B,1682,16,19,NA,6/28/20,Initial,16_I,34A,0.593,3,Broward,A,3a
1763,470B,1670,16,8,NA,6/28/20,Initial,16_I,34A,0.481,3,Broward,A,3a
1764,470B,1508,12,3,NA,6/28/20,Final,12_F,34A,0.521,3,Broward,A,3a
1767,471B,1683,16,20,NA,6/28/20,Initial,16_I,32A,0.558,3,Broward,A,3a
1768,471B,1921,4,14,NA,6/28/20,Final,4_F,32A,0.55,3,Broward,A,3a
1769,472B,1822,20,10,NA,6/28/20,Final,20_F,35B,0.503,3,Broward,S,3a
1770,472B,1672,16,10,NA,6/28/20,Initial,16_I,35B,0.549,3,Broward,S,3a
1773,473B,1681,16,18,NA,6/28/20,Initial,16_I,35B,0.549,3,Broward,A,3a
1774,473B,1761,19,1,NA,6/28/20,Final,19_F,35B,0.38,3,Broward,A,3a
1775,474B,1674,16,12,NA,6/28/20,Initial,16_I,35B,0.533,3,Broward,S,3a
1776,474B,1767,19,7,NA,6/28/20,Final,19_F,35B,0.401,3,Broward,S,3a
1781,476B,1712,17,9,NA,6/28/20,Initial,17_I,34B,0.533,3,Broward,S,3a
1782,476B,1580,14,11,NA,6/28/20,Final,14_F,34B,0.469,3,Broward,S,3a
1785,477B,1877,27,3,NA,6/28/20,Final,27_F,36B,0.101,3,Broward,A,3a
1786,477B,1632,15,6,NA,6/28/20,Initial,15_I,36B,0.624,3,Broward,A,3a
1789,478B,1711,17,8,NA,6/28/20,Initial,17_I,34A,0.557,3,Broward,S,3a
1790,478B,1520,12,15,NA,6/28/20,Final,12_F,34A,0.543,3,Broward,S,3a
1793,479B,1665,16,3,NA,6/28/20,Initial,16_I,33B,0.528,3,Broward,S,3a
1794,479B,1444,10,8,NA,6/28/20,Final,10_F,33B,0.555,3,Broward,S,3a
1800,481B,1718,17,15,NA,6/28/20,Initial,17_I,33A,0.569,3,Broward,S,3a
1801,481B,2045,8,6,NA,6/28/20,Final,8_F,33A,0.559,3,Broward,S,3a
1804,482B,1707,17,4,NA,6/28/20,Initial,17_I,31B,0.452,3,Broward,A,3a
1805,482B,1654,16,12,NA,6/28/20,Final,16_F,31B,0.447,3,Broward,A,3a
1808,483B,1866,26,8,NA,6/28/20,Final,26_F,36B,0.098,3,Broward,S,3a
1809,483B,1723,17,20,NA,6/28/20,Initial,17_I,36B,0.594,3,Broward,S,3a
1812,484B,1705,17,2,NA,6/28/20,Initial,17_I,34B,0.58,3,Broward,A,3a
1813,484B,1585,14,16,NA,6/28/20,Final,14_F,34B,0.411,3,Broward,A,3a
1816,485B,1704,17,1,NA,6/28/20,Initial,17_I,33B,0.529,3,Broward,S,3a
1817,485B,1438,10,2,NA,6/28/20,Final,10_F,33B,0.518,3,Broward,S,3a
1247,360G,1054,22,1,NA,6/26/20,Final,22_F,35.5A,0.216,2,Broward,A,4a
1248,360G,631,1,13,NA,6/26/20,Initial,1_I,35.5A,0.607,2,Broward,A,4a
1253,361G,900,17,13,NA,6/26/20,Final,17_F,34.5B,0.401,2,Broward,A,4a
1254,361G,638,1,20,NA,6/26/20,Initial,1_I,34.5B,0.614,2,Broward,A,4a
1259,362G,994,2,6,NA,6/26/20,Initial,2_I,33.5B,0.592,2,Broward,A,4a
1260,362G,729,12,18,NA,6/26/20,Final,12_F,33.5B,0.618,2,Broward,A,4a
1263,363G,629,1,11,NA,6/26/20,Initial,1_I,35.5A,0.615,2,Broward,A,4a
1264,363G,1016,20,6,NA,6/26/20,Final,20_F,35.5A,0.139,2,Broward,A,4a
1267,364G,1117,27,11,NA,6/26/20,Final,27_F,36.5A,0.091,2,Broward,S,4a
1268,364G,620,1,2,NA,6/26/20,Initial,1_I,36.5A,0.603,2,Broward,S,4a
1273,365G,997,2,9,NA,6/26/20,Initial,2_I,34.5A,0.595,2,Broward,S,4a
1276,366G,986,2,5,NA,6/26/20,Final,2_F,31.5A,0.623,2,Broward,S,4a
1277,366G,991,2,3,NA,6/26/20,Initial,2_I,31.5A,0.562,2,Broward,S,4a
1282,367G,954,19,6,NA,6/26/20,Final,19_F,35.5A,0.171,2,Broward,S,4a
1283,367G,625,1,7,NA,6/26/20,Initial,1_I,35.5A,0.603,2,Broward,S,4a
1296,370G,1010,2,22,NA,6/26/20,Initial,2_I,35.5B,0.615,2,Broward,S,4a
1321,376G,639,1,21,NA,6/26/20,Initial,1_I,36.5A,0.628,2,Broward,S,4a
1322,376G,1102,26,16,NA,6/26/20,Final,26_F,36.5A,0.102,2,Broward,S,4a
1327,377G,983,2,2,NA,6/26/20,Final,2_F,31.5A,0.608,2,Broward,S,4a
1328,377G,1214,4,17,NA,6/26/20,Initial,4_I,31.5A,0.6,2,Broward,S,4a
1941,63W,829,15,5,NA,6/26/20,Initial,15_I,33.5A,0.611,2,Broward,A,5a
1942,63W,1359,9,2,NA,6/26/20,Final,9_F,33.5A,0.607,2,Broward,A,5a
1945,64W,1035,20,7,NA,6/26/20,Initial,20_I,31.5A,0.622,2,Broward,A,5a
1946,64W,615,1,17,NA,6/26/20,Final,1_F,31.5A,0.62,2,Broward,A,5a
1949,65W,1029,20,1,NA,6/26/20,Initial,20_I,33.5A,0.628,2,Broward,A,5a
1950,65W,647,10,5,NA,6/26/20,Final,10_F,33.5A,0.571,2,Broward,A,5a
1953,66W,877,16,10,NA,6/26/20,Initial,16_I,33.5A,0.631,2,Broward,A,5a
1954,66W,1360,9,3,NA,6/26/20,Final,9_F,33.5A,0.626,2,Broward,A,5a
1957,67W,834,15,10,NA,6/26/20,Initial,15_I,36.5A,0.624,2,Broward,A,5a
1960,68W,1088,26,2,NA,6/26/20,Final,26_F,36.5A,0.056,2,Broward,S,5a
1961,68W,836,15,11,NA,6/26/20,Initial,15_I,31.5B,0.614,2,Broward,S,5a
1962,68W,835,15,11,NA,6/26/20,Initial,15_I,36.5A,0.614,2,Broward,S,5a
1963,68W,1187,4,10,NA,6/26/20,Final,4_F,31.5B,0.616,2,Broward,S,5a
1966,69W,1031,20,3,NA,6/26/20,Initial,20_I,31.5B,0.627,2,Broward,S,5a
1971,70W,1141,29,4,NA,6/26/20,Final,29_F,36.5B,0.191,2,Broward,S,5a
1972,70W,841,15,16,NA,6/26/20,Initial,15_I,36.5B,0.637,2,Broward,S,5a
1975,71W,843,15,18,NA,6/26/20,Initial,15_I,33.5A,0.632,2,Broward,S,5a
1976,71W,651,10,9,NA,6/26/20,Final,10_F,33.5A,0.603,2,Broward,S,5a
1979,72W,677,11,2,NA,6/26/20,Final,11_F,33.5B,0.561,2,Broward,S,5a
1980,72W,844,15,19,NA,6/26/20,Initial,15_I,33.5B,0.605,2,Broward,S,5a
1983,73W,1321,8,2,NA,6/26/20,Final,8_F,32.5B,0.628,2,Broward,S,5a
1984,73W,790,14,4,NA,6/26/20,Initial,14_I,32.5B,0.638,2,Broward,S,5a
1987,74W,894,17,7,NA,6/26/20,Final,17_F,34.5B,0.389,2,Broward,S,5a
1988,74W,791,14,5,NA,6/26/20,Initial,14_I,34.5B,0.623,2,Broward,S,5a
1991,75W,1036,20,8,NA,6/26/20,Initial,20_I,31.5A,0.649,2,Broward,S,5a
1992,75W,605,1,7,NA,6/26/20,Final,1_F,31.5A,0.65,2,Broward,S,5a
1995,76W,1039,20,11,NA,6/26/20,Initial,20_I,35.5B,0.626,2,Broward,S,5a
1996,76W,1063,23,9,NA,6/26/20,Final,23_F,35.5B,0.484,2,Broward,S,5a
1999,77W,787,14,1,NA,6/26/20,Initial,14_I,32.5A,0.602,2,Broward,S,5a
2002,78W,958,19,10,NA,6/26/20,Final,19_F,35.5A,0.239,2,Broward,S,5a
2003,78W,1038,20,10,NA,6/26/20,Initial,20_I,35.5A,0.631,2,Broward,S,5a
2006,79W,1040,20,12,NA,6/26/20,Initial,20_I,34.5B,0.633,2,Broward,S,5a
2007,79W,902,17,15,NA,6/26/20,Final,17_F,34.5B,0.613,2,Broward,S,5a
919,297B,1454,10,18,NA,6/28/20,Final,10_F,33B,0.579,3,Broward,S,8a
920,297B,1747,18,6,NA,6/28/20,Initial,18_I,33B,0.562,3,Broward,S,8a
924,298B,1692,17,9,NA,6/28/20,Final,17_F,35A,0.29,3,Broward,S,8a
925,298B,2069,8,10,NA,6/28/20,Initial,8_I,35A,0.537,3,Broward,S,8a
930,299B,1876,27,2,NA,6/28/20,Final,27_F,36B,0.035,3,Broward,A,8a
931,299B,2078,8,19,NA,6/28/20,Initial,8_I,36B,0.54,3,Broward,A,8a
941,300B,1749,18,8,NA,6/28/20,Initial,18_I,34A,0.525,3,Broward,S,8a
942,300B,1509,12,4,NA,6/28/20,Final,12_F,34A,0.476,3,Broward,S,8a
951,302B,1473,10,17,NA,6/28/20,Initial,10_I,31A,0.524,3,Broward,S,8a
952,302B,1406,1,11,NA,6/28/20,Final,1_F,31A,0.504,3,Broward,S,8a
957,303B,1463,10,7,NA,6/28/20,Initial,10_I,35B,0.527,3,Broward,A,8a
958,303B,1779,19,19,NA,6/28/20,Final,19_F,35B,0.516,3,Broward,A,8a
963,304B,2104,9,19,NA,6/28/20,Initial,9_I,36A,0.567,3,Broward,S,8a
964,304B,1830,21,1,NA,6/28/20,Final,21_F,36A,0.048,3,Broward,S,8a
974,307B,2094,9,9,NA,6/28/20,Initial,9_I,36A,0.533,3,Broward,S,8a
975,307B,1844,21,15,NA,6/28/20,Final,21_F,36A,0.249,3,Broward,S,8a
979,308B,2046,8,7,NA,6/28/20,Final,8_F,33A,0.512,3,Broward,S,8a
980,308B,2088,9,3,NA,6/28/20,Initial,9_I,33A,0.521,3,Broward,S,8a
983,309B,2089,9,4,NA,6/28/20,Initial,9_I,33A,0.499,3,Broward,A,8a
984,309B,2047,8,8,NA,6/28/20,Final,8_F,33A,0.417,3,Broward,A,8a
991,310B,1575,14,6,NA,6/28/20,Final,14_F,34B,0.415,3,Broward,S,8a
992,310B,2093,9,8,NA,6/28/20,Initial,9_I,34B,0.513,3,Broward,S,8a
994,311B,2092,9,7,NA,6/28/20,Initial,9_I,31A,0.558,3,Broward,A,8a
995,311B,1413,1,18,NA,6/28/20,Final,1_F,31A,0.551,3,Broward,A,8a
997,312B,2087,9,2,NA,6/28/20,Initial,9_I,33B,0.507,3,Broward,A,8a
998,312B,1452,10,16,NA,6/28/20,Final,10_F,33B,0.576,3,Broward,A,8a
1002,313B,1976,6,3,NA,6/28/20,Final,6_F,32B,0.485,3,Broward,A,8a
1003,313B,2086,9,1,NA,6/28/20,Initial,9_I,32B,0.494,3,Broward,A,8a
1008,314B,2095,9,10,NA,6/28/20,Initial,9_I,33A,0.542,3,Broward,S,8a
1009,314B,2043,8,4,NA,6/28/20,Final,8_F,33A,0.524,3,Broward,S,8a
1012,315B,1442,10,6,NA,6/28/20,Final,10_F,33B,0.57,3,Broward,S,8a
1013,315B,2102,9,17,NA,6/28/20,Initial,9_I,33B,0.562,3,Broward,S,8a
1016,316B,2098,9,13,NA,6/28/20,Initial,9_I,35B,0.534,3,Broward,A,8a
1017,316B,1774,19,14,NA,6/28/20,Final,19_F,35B,0.492,3,Broward,A,8a
1111,334G,1062,23,8,NA,6/26/20,Final,23_F,35.5B,0.248,2,Broward,A,9a
1112,334G,996,2,8,NA,6/26/20,Initial,2_I,35.5B,0.549,2,Broward,A,9a
1117,335G,1002,2,14,NA,6/26/20,Initial,2_I,32.5A,0.579,2,Broward,A,9a
1118,335G,1233,5,17,NA,6/26/20,Final,5_F,32.5A,0.575,2,Broward,A,9a
1123,336G,1109,27,3,NA,6/26/20,Final,27_F,36.5A,0.074,2,Broward,A,9a
1124,336G,990,2,2,NA,6/26/20,Initial,2_I,36.5A,0.535,2,Broward,A,9a
1128,337G,599,1,1,NA,6/26/20,Final,1_F,31.5A,0.562,2,Broward,A,9a
1129,337G,1004,2,16,NA,6/26/20,Initial,2_I,31.5A,0.568,2,Broward,A,9a
1132,338G,1370,9,13,NA,6/26/20,Final,9_F,33.5A,0.64,2,Broward,A,9a
1133,338G,626,1,8,NA,6/26/20,Initial,1_I,33.5A,0.576,2,Broward,A,9a
1134,339G,779,14,8,NA,6/26/20,Final,14_F,34.5A,0.327,2,Broward,A,9a
1135,339G,641,1,23,NA,6/26/20,Initial,1_I,34.5A,0.582,2,Broward,A,9a
1140,340G,1208,4,11,NA,6/26/20,Initial,4_I,34.5A,0.547,2,Broward,A,9a
1141,340G,812,15,6,NA,6/26/20,Final,15_F,34.5A,0.378,2,Broward,A,9a
1146,341G,653,10,11,NA,6/26/20,Final,10_F,33.5A,0.364,2,Broward,S,9a
1147,341G,1212,4,15,NA,6/26/20,Initial,4_I,33.5A,0.577,2,Broward,S,9a
1152,342G,1210,4,13,NA,6/26/20,Initial,4_I,36.5A,0.577,2,Broward,S,9a
1153,342G,1097,26,11,NA,6/26/20,Final,26_F,36.5A,0.048,2,Broward,S,9a
1160,344G,814,15,8,NA,6/26/20,Final,15_F,34.5A,0.493,2,Broward,S,9a
1161,344G,1005,2,17,NA,6/26/20,Initial,2_I,34.5A,0.568,2,Broward,S,9a
1166,345G,1070,23,16,NA,6/26/20,Final,23_F,35.5B,0.309,2,Broward,S,9a
1167,345G,1006,2,18,NA,6/26/20,Initial,2_I,35.5B,0.573,2,Broward,S,9a
1171,346G,1196,4,19,NA,6/26/20,Final,4_F,31.5B,0.581,2,Broward,S,9a
1172,346G,1007,2,19,NA,6/26/20,Initial,2_I,31.5B,0.57,2,Broward,S,9a
1175,347G,1008,2,20,NA,6/26/20,Initial,2_I,36.5B,0.562,2,Broward,S,9a
1176,347G,1139,29,2,NA,6/26/20,Final,29_F,36.5B,0.105,2,Broward,S,9a
1181,348G,1009,2,21,NA,6/26/20,Initial,2_I,32.5A,0.588,2,Broward,S,9a
1182,348G,1223,5,7,NA,6/26/20,Final,5_F,32.5A,0.56,2,Broward,S,9a
1199,351G,1014,20,4,NA,6/26/20,Final,20_F,35.5A,0.294,2,Broward,S,9a
1200,351G,1000,2,12,NA,6/26/20,Initial,2_I,35.5A,0.557,2,Broward,S,9a
1209,353G,1215,4,18,NA,6/26/20,Initial,4_I,34.5A,0.566,2,Broward,S,9a
1210,353G,775,14,4,NA,6/26/20,Final,14_F,34.5A,0.454,2,Broward,S,9a
1,100G,2,10,4,,6/25/20,Final,F_10,32A,0.636,1,CRF,S,Acer-001
2,100G,1,5,2,,6/25/20,Initial,I_5,32A,0.626,1,CRF,S,Acer-001
5,101G,5,4,1,,6/25/20,Final,F_4,33B,0.597,1,CRF,S,Acer-001
6,101G,6,5,3,,6/25/20,Initial,I_5,33B,0.625,1,CRF,S,Acer-001
9,102G,10,5,1,237 & 238,6/25/20,Initial,I_5,36B,0.624,1,CRF,S,Acer-001
10,102G,9,21,2,,6/25/20,Final,F_21,36B,0.199,1,CRF,S,Acer-001
13,103G,13,17,10,,6/25/20,Final,F_17,36A,0.283,1,CRF,S,Acer-001
14,103G,14,5,4,,6/25/20,Initial,I_5,36A,0.642,1,CRF,S,Acer-001
17,104G,18,27,6,,6/25/20,Final,F_27,37B,0.077,1,CRF,A,Acer-001
18,104G,17,5,5,,6/25/20,Initial,I_5,37B,0.648,1,CRF,A,Acer-001
21,105G,22,5,6,,6/25/20,Initial,I_5,36B,0.626,1,CRF,A,Acer-001
22,105G,21,22,2,,6/25/20,Final,F_22,36B,0.24,1,CRF,A,Acer-001
25,106G,26,5,7,,6/25/20,Initial,I_5,32B,0.638,1,CRF,A,Acer-001
26,106G,25,2,6,,6/25/20,Final,F_2,32B,0.608,1,CRF,A,Acer-001
29,107G,29,13,10,,6/25/20,Final,F_13,35B,0.389,1,CRF,A,Acer-001
30,107G,30,5,8,,6/25/20,Initial,I_5,35B,0.611,1,CRF,A,Acer-001
33,108G,33,5,9,,6/25/20,Initial,I_5,33B,0.633,1,CRF,A,Acer-001
36,109G,37,8,5,,6/25/20,Final,F_8,34B,0.578,1,CRF,A,Acer-001
37,109G,36,5,10,,6/25/20,Initial,I_5,34B,0.638,1,CRF,A,Acer-001
46,110G,43,8,3,,6/25/20,Initial,I_8,32B,0.625,1,CRF,S,Acer-001
47,110G,42,2,8,,6/25/20,Final,F_2,32B,0.629,1,CRF,S,Acer-001
50,111G,46,8,3,,6/25/20,Final,F_8,34B,0.558,1,CRF,S,Acer-001
53,112G,49,8,4,,6/25/20,Initial,I_8,37B,0.601,1,CRF,S,Acer-001
56,113G,53,11,4,,6/25/20,Final,F_11,35A,0.516,1,CRF,S,Acer-001
57,113G,52,7,23,,6/25/20,Initial,I_7,35A,0.641,1,CRF,S,Acer-001
2056,90G,558,5,11,,6/25/20,Initial,I_5,37B,0.632,1,CRF,S,Acer-001
2057,90G,557,27,1,,6/25/20,Final,F_27,37B,0.041,1,CRF,S,Acer-001
2060,91G,562,2,7,,6/25/20,Final,F_2,32B,0.609,1,CRF,S,Acer-001
2061,91G,561,5,12,,6/25/20,Initial,I_5,32B,0.654,1,CRF,S,Acer-001
2064,92G,565,5,13,,6/25/20,Initial,I_5,33B,0.632,1,CRF,S,Acer-001
2067,93G,568,13,3,,6/25/20,Final,F_13,35B,0.385,1,CRF,S,Acer-001
2068,93G,569,5,14,,6/25/20,Initial,I_5,35B,0.642,1,CRF,S,Acer-001
2071,94G,572,22,3,,6/25/20,Final,F_22,36B,0.266,1,CRF,S,Acer-001
2072,94G,573,5,15,,6/25/20,Initial,I_5,36B,0.666,1,CRF,S,Acer-001
