dttm,hm,sp,temp,max_temp,tank_set,tank_id
2020-10-11T13:22:22Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:27Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:27Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:27Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:27Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:33Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:33Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:33Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:33Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:38Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:38Z,13:22,30.53,30.5,36,starboard,S3
2020-10-11T13:22:38Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:38Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:44Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:44Z,13:22,30.53,30.56,36,starboard,S3
2020-10-11T13:22:44Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:44Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:49Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:49Z,13:22,30.53,30.56,36,starboard,S3
2020-10-11T13:22:49Z,13:22,30.62,30.56,37,starboard,S2
2020-10-11T13:22:49Z,13:22,30.71,30.62,38,starboard,S1
2020-10-11T13:22:56Z,13:22,30.44,30.44,35,starboard,S4
2020-10-11T13:22:56Z,13:22,30.53,30.56,36,starboard,S3
2020-10-11T13:22:56Z,13:22,30.62,30.62,37,starboard,S2
2020-10-11T13:22:56Z,13:22,30.71,30.69,38,starboard,S1
2020-10-11T13:23:02Z,13:23,30.44,30.5,35,starboard,S4
2020-10-11T13:23:02Z,13:23,30.53,30.56,36,starboard,S3
2020-10-11T13:23:02Z,13:23,30.62,30.62,37,starboard,S2
2020-10-11T13:23:02Z,13:23,30.71,30.69,38,starboard,S1
2020-10-11T13:23:07Z,13:23,30.44,30.5,35,starboard,S4
2020-10-11T13:23:07Z,13:23,30.53,30.62,36,starboard,S3
2020-10-11T13:23:07Z,13:23,30.62,30.62,37,starboard,S2
2020-10-11T13:23:07Z,13:23,30.71,30.69,38,starboard,S1
2020-10-11T13:23:13Z,13:23,30.44,30.5,35,starboard,S4
2020-10-11T13:23:13Z,13:23,30.53,30.62,36,starboard,S3
2020-10-11T13:23:13Z,13:23,30.62,30.62,37,starboard,S2
2020-10-11T13:23:13Z,13:23,30.71,30.75,38,starboard,S1
2020-10-11T13:23:18Z,13:23,30.44,30.56,35,starboard,S4
2020-10-11T13:23:18Z,13:23,30.53,30.62,36,starboard,S3
2020-10-11T13:23:18Z,13:23,30.62,30.69,37,starboard,S2
2020-10-11T13:23:18Z,13:23,30.71,30.75,38,starboard,S1
2020-10-11T13:23:24Z,13:23,30.44,30.56,35,starboard,S4
2020-10-11T13:23:24Z,13:23,30.53,30.62,36,starboard,S3
2020-10-11T13:23:24Z,13:23,30.62,30.69,37,starboard,S2
2020-10-11T13:23:24Z,13:23,30.71,30.75,38,starboard,S1
2020-10-11T13:23:29Z,13:23,30.44,30.56,35,starboard,S4
2020-10-11T13:23:29Z,13:23,30.53,30.69,36,starboard,S3
2020-10-11T13:23:29Z,13:23,30.62,30.69,37,starboard,S2
2020-10-11T13:23:29Z,13:23,30.71,30.81,38,starboard,S1
2020-10-11T13:23:35Z,13:23,30.44,30.62,35,starboard,S4
2020-10-11T13:23:35Z,13:23,30.53,30.69,36,starboard,S3
2020-10-11T13:23:35Z,13:23,30.62,30.75,37,starboard,S2
2020-10-11T13:23:35Z,13:23,30.71,30.81,38,starboard,S1
2020-10-11T13:23:40Z,13:23,30.44,30.62,35,starboard,S4
2020-10-11T13:23:40Z,13:23,30.53,30.69,36,starboard,S3
2020-10-11T13:23:40Z,13:23,30.62,30.75,37,starboard,S2
2020-10-11T13:23:40Z,13:23,30.71,30.81,38,starboard,S1
2020-10-11T13:23:46Z,13:23,30.44,30.62,35,starboard,S4
2020-10-11T13:23:46Z,13:23,30.53,30.69,36,starboard,S3
2020-10-11T13:23:46Z,13:23,30.62,30.75,37,starboard,S2
2020-10-11T13:23:46Z,13:23,30.71,30.81,38,starboard,S1
2020-10-11T13:23:51Z,13:23,30.44,30.62,35,starboard,S4
