"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"186",1602700496150,2020-10-14,19:34:56,"F",13203,"244",273,0,"0.106","0.0"
"187",1602700503040,2020-10-14,19:35:03,"F",13204,"353",413,0,"0.145","0.0"
"188",1602700512750,2020-10-14,19:35:12,"F",13205,"196",281,0,"0.302","0.0"
"189",1602700520790,2020-10-14,19:35:20,"F",13206,"627",790,0,"0.206","0.0"
"190",1602700524970,2020-10-14,19:35:24,"F",13207,"469",617,0,"0.240","0.0"
"191",1602700540030,2020-10-14,19:35:40,"F",13208,"250",340,0,"0.265","0.0"
"192",1602700546910,2020-10-14,19:35:46,"F",13209,"478",609,0,"0.215","0.0"
"193",1602700557990,2020-10-14,19:35:57,"F",13210,"487",664,0,"0.267","0.0"
"194",1602700561280,2020-10-14,19:36:01,"F",13211,"329",505,0,"0.349","0.0"
"195",1602700568340,2020-10-14,19:36:08,"F",13212,"262",338,0,"0.225","0.0"
"196",1602700576280,2020-10-14,19:36:16,"F",13213,"100",161,0,"0.379","0.0"
"197",1602700584350,2020-10-14,19:36:24,"F",13214,"445",600,0,"0.258","0.0"
"198",1602700588930,2020-10-14,19:36:28,"F",13215,"419",524,0,"0.200","0.0"
"199",1602700594270,2020-10-14,19:36:34,"F",13216,"379",506,0,"0.251","0.0"
"200",1602700598360,2020-10-14,19:36:38,"F",13217,"240",397,0,"0.395","0.0"
"201",1602700606200,2020-10-14,19:36:46,"F",13218,"30",48,0,"-","-"
"202",1602700611650,2020-10-14,19:36:51,"F",13219,"81",168,0,"0.518","0.0"
"203",1602700616050,2020-10-14,19:36:56,"F",13220,"326",621,0,"0.475","0.0"
"204",1602700624770,2020-10-14,19:37:04,"F",13221,"279",316,0,"0.117","0.0"
"205",1602700628740,2020-10-14,19:37:08,"F",13222,"331",385,0,"0.140","0.0"
"206",1602700636840,2020-10-14,19:37:16,"F",13223,"118",157,0,"0.248","0.0"
"207",1602700646730,2020-10-14,19:37:26,"F",13224,"76",121,0,"0.372","0.0"
"208",1602700653300,2020-10-14,19:37:33,"F",13225,"510",605,0,"0.157","0.0"
"209",1602700657300,2020-10-14,19:37:37,"F",13226,"302",375,0,"0.195","0.0"
"210",1602700663890,2020-10-14,19:37:43,"F",13227,"123",175,0,"0.297","0.0"
"211",1602700672090,2020-10-14,19:37:52,"F",13228,"183",280,0,"0.346","0.0"
"212",1602700678370,2020-10-14,19:37:58,"F",13229,"175",288,0,"0.392","0.0"
"213",1602700767000,2020-10-14,19:39:27,"C",NA,"File Nr. 521 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"214",1602700826230,2020-10-14,19:40:26,"F",13230,"341",430,0,"0.207","0.0"
"215",1602700831550,2020-10-14,19:40:31,"F",13231,"140",190,0,"0.263","0.0"
"216",1602700836810,2020-10-14,19:40:36,"F",13232,"278",371,0,"0.251","0.0"
"217",1602700839970,2020-10-14,19:40:39,"F",13233,"258",340,0,"0.241","0.0"
"218",1602700844440,2020-10-14,19:40:44,"F",13234,"289",419,0,"0.310","0.0"
"219",1602700847060,2020-10-14,19:40:47,"F",13235,"308",391,0,"0.212","0.0"
"220",1602700854420,2020-10-14,19:40:54,"F",13236,"265",313,0,"0.153","0.0"
"221",1602700858530,2020-10-14,19:40:58,"F",13237,"244",290,0,"0.159","0.0"
"222",1602700864990,2020-10-14,19:41:04,"F",13238,"243",298,0,"0.185","0.0"
