"2020-10-10";"22:27:36";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"20:09:24";"SCHS";"";"Chart start ";""
"1207005";"2020-10-10";"20:29:32";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1221845";"2020-10-10";"20:29:46";"F";"11309";"148";"395";"0";"0.625";"0.0"
"1225005";"2020-10-10";"20:29:50";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1229165";"2020-10-10";"20:29:54";"F";"11310";"135";"366";"0";"0.631";"0.0"
"1233005";"2020-10-10";"20:29:58";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1235075";"2020-10-10";"20:30:00";"F";"11311";"142";"391";"0";"0.637";"0.0"
"1239005";"2020-10-10";"20:30:04";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1239085";"2020-10-10";"20:30:04";"F";"11312";"165";"558";"0";"0.704";"0.0"
"1243005";"2020-10-10";"20:30:08";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1249335";"2020-10-10";"20:30:14";"F";"11313";"117";"322";"0";"0.637";"0.0"
"1253005";"2020-10-10";"20:30:18";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1257085";"2020-10-10";"20:30:22";"F";"11314";"120";"377";"0";"0.682";"0.0"
"1262005";"2020-10-10";"20:30:27";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1265155";"2020-10-10";"20:30:30";"F";"11315";"107";"285";"0";"0.625";"0.0"
"1269005";"2020-10-10";"20:30:34";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1271665";"2020-10-10";"20:30:36";"F";"11316";"151";"432";"0";"0.650";"0.0"
"1271670";"2020-10-10";"20:30:36";"SCHE";"";"Chart stop ";""
"1275005";"2020-10-10";"20:30:40";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1307000";"2020-10-10";"20:31:11";"SCHS";"";"Chart start ";""
"1307005";"2020-10-10";"20:31:12";"C";"";"File Nr. 453 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1385925";"2020-10-10";"20:32:30";"F";"11317";"129";"303";"0";"0.574";"0.0"
"1390005";"2020-10-10";"20:32:35";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1394225";"2020-10-10";"20:32:39";"F";"11318";"147";"361";"0";"0.593";"0.0"
"1398005";"2020-10-10";"20:32:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1402925";"2020-10-10";"20:32:47";"F";"11319";"131";"329";"0";"0.602";"0.0"
"1406005";"2020-10-10";"20:32:51";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1427695";"2020-10-10";"20:33:12";"F";"11320";"177";"459";"0";"0.614";"0.0"
"1432005";"2020-10-10";"20:33:17";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1444285";"2020-10-10";"20:33:29";"F";"11321";"131";"331";"0";"0.604";"0.0"
"1448005";"2020-10-10";"20:33:33";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1458555";"2020-10-10";"20:33:43";"F";"11322";"150";"412";"0";"0.636";"0.0"
"1462005";"2020-10-10";"20:33:47";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1471445";"2020-10-10";"20:33:56";"F";"11323";"165";"463";"0";"0.644";"0.0"
"1475005";"2020-10-10";"20:34:00";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1479285";"2020-10-10";"20:34:04";"F";"11324";"127";"306";"0";"0.585";"0.0"
"1483005";"2020-10-10";"20:34:08";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1493645";"2020-10-10";"20:34:18";"F";"11325";"122";"338";"0";"0.639";"0.0"
"1498005";"2020-10-10";"20:34:23";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1513235";"2020-10-10";"20:34:38";"F";"11326";"156";"381";"0";"0.591";"0.0"
"1518005";"2020-10-10";"20:34:43";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1519335";"2020-10-10";"20:34:44";"F";"11327";"175";"463";"0";"0.622";"0.0"
"1524005";"2020-10-10";"20:34:49";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1532165";"2020-10-10";"20:34:57";"F";"11328";"171";"473";"0";"0.638";"0.0"
"1537005";"2020-10-10";"20:35:02";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1538245";"2020-10-10";"20:35:03";"F";"11329";"149";"342";"0";"0.564";"0.0"
"1543005";"2020-10-10";"20:35:08";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
"1544285";"2020-10-10";"20:35:09";"F";"11330";"149";"358";"0";"0.584";"0.0"
"1549005";"2020-10-10";"20:35:14";"SPEC";"";"PAR: - 32768; Depth: - 337.4 ";""
