"2020-10-10";"22:35:02";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-10";"18:31:22";"SCHS";"";"Chart start ";""
"5";"2020-10-10";"18:31:23";"C";"";"File Nr. 434 | File Dev. ID #1, DIVING-PAM-II:  ";""
"10";"2020-10-10";"18:31:23";"SCHE";"";"Chart stop ";""
"2496005";"2020-10-10";"19:12:59";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"2510695";"2020-10-10";"19:13:13";"F";"10953";"130";"158";"0";"0.177";"0.0"
"2514005";"2020-10-10";"19:13:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"2518715";"2020-10-10";"19:13:21";"F";"10954";"134";"167";"0";"0.198";"0.0"
"2522005";"2020-10-10";"19:13:25";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"2524165";"2020-10-10";"19:13:27";"F";"10955";"668";"733";"0";"0.089";"0.0"
"2528005";"2020-10-10";"19:13:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.6 ";""
"2543525";"2020-10-10";"19:13:46";"F";"10956";"342";"391";"0";"0.125";"0.0"
"2547005";"2020-10-10";"19:13:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"2557915";"2020-10-10";"19:14:00";"F";"10957";"11";"50";"0";"0.780";"0.0"
"2561005";"2020-10-10";"19:14:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"2566465";"2020-10-10";"19:14:09";"F";"10958";"37";"51";"0";"0.275";"0.0"
"2570005";"2020-10-10";"19:14:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"2576025";"2020-10-10";"19:14:19";"F";"10959";"29";"57";"0";"0.491";"0.0"
"2580005";"2020-10-10";"19:14:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 29.7 ";""
"2586855";"2020-10-10";"19:14:29";"F";"10960";"227";"250";"0";"0.092";"0.0"
