"","Time (rel/ms)","Date","Time","Type","No.","1:F","1:Fm'","1:PAR","1:Y (II)","1:ETR"
"177",835585,2020-10-13,19:24:17,"F",12341,"11",34,0,"-","-"
"178",844025,2020-10-13,19:24:26,"F",12342,"12",22,0,"-","-"
"179",853825,2020-10-13,19:24:35,"F",12343,"15",30,0,"-","-"
"180",862725,2020-10-13,19:24:44,"F",12344,"3",36,0,"-","-"
"181",870835,2020-10-13,19:24:52,"F",12345,"20",27,0,"-","-"
"182",878825,2020-10-13,19:25:00,"F",12346,"5",37,0,"-","-"
"183",885195,2020-10-13,19:25:07,"F",12347,"15",32,0,"-","-"
"184",910005,2020-10-13,19:25:32,"C",NA,"File Nr. 496 | File Dev. ID #1, DIVING-PAM-II:",NA,NA,NA,NA
"185",945435,2020-10-13,19:26:07,"F",12348,"21",28,0,"-","-"
"186",950845,2020-10-13,19:26:12,"F",12349,"16",51,0,"0.686","0.0"
"187",956675,2020-10-13,19:26:18,"F",12350,"41",71,0,"0.423","0.0"
"188",965345,2020-10-13,19:26:27,"F",12351,"187",254,0,"0.264","0.0"
"189",970285,2020-10-13,19:26:32,"F",12352,"199",314,0,"0.366","0.0"
"190",978315,2020-10-13,19:26:40,"F",12353,"225",279,0,"0.194","0.0"
"191",986855,2020-10-13,19:26:48,"F",12354,"116",148,0,"0.216","0.0"
"192",992835,2020-10-13,19:26:54,"F",12355,"18",23,0,"-","-"
"193",998785,2020-10-13,19:27:00,"F",12356,"10",38,0,"-","-"
"194",1011645,2020-10-13,19:27:13,"F",12357,"18",38,0,"-","-"
"195",1016755,2020-10-13,19:27:18,"F",12358,"11",45,0,"-","-"
"196",1024485,2020-10-13,19:27:26,"F",12359,"150",197,0,"0.239","0.0"
"197",1029565,2020-10-13,19:27:31,"F",12360,"121",152,0,"0.204","0.0"
"198",1035275,2020-10-13,19:27:37,"F",12361,"162",326,0,"0.503","0.0"
"199",1039325,2020-10-13,19:27:41,"F",12362,"334",448,0,"0.254","0.0"
"200",1046805,2020-10-13,19:27:48,"F",12363,"271",338,0,"0.198","0.0"
"201",1050275,2020-10-13,19:27:52,"F",12364,"151",230,0,"0.343","0.0"
"202",1054975,2020-10-13,19:27:56,"F",12365,"213",314,0,"0.322","0.0"
"203",1061485,2020-10-13,19:28:03,"F",12366,"202",274,0,"0.263","0.0"
"204",1064905,2020-10-13,19:28:06,"F",12367,"179",241,0,"0.257","0.0"
"205",1070205,2020-10-13,19:28:12,"F",12368,"188",260,0,"0.277","0.0"
"206",1074925,2020-10-13,19:28:16,"F",12369,"118",167,0,"0.293","0.0"
"207",1080325,2020-10-13,19:28:22,"F",12370,"162",230,0,"0.296","0.0"
"208",1084955,2020-10-13,19:28:26,"F",12371,"131",180,0,"0.272","0.0"
"209",1089375,2020-10-13,19:28:31,"F",12372,"61",72,0,"0.153","0.0"
"210",1093235,2020-10-13,19:28:35,"F",12373,"251",329,0,"0.237","0.0"
"211",1098775,2020-10-13,19:28:40,"F",12374,"316",498,0,"0.365","0.0"
"212",1110555,2020-10-13,19:28:52,"F",12375,"43",62,0,"0.306","0.0"
"213",1114365,2020-10-13,19:28:56,"F",12376,"33",68,0,"0.515","0.0"
"214",1121945,2020-10-13,19:29:03,"F",12377,"83",148,0,"0.439","0.0"
"215",1124455,2020-10-13,19:29:06,"F",12378,"187",264,0,"0.292","0.0"
"216",1131415,2020-10-13,19:29:13,"F",12379,"168",266,0,"0.368","0.0"
"217",1137955,2020-10-13,19:29:19,"F",12380,"187",233,0,"0.197","0.0"
"218",1145585,2020-10-13,19:29:27,"F",12381,"186",379,0,"0.509","0.0"
"219",1151325,2020-10-13,19:29:33,"F",12382,"180",267,0,"0.326","0.0"
