"2020-10-14";"00:02:17";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-13";"20:13:19";"SCHS";"";"Chart start ";""
"5";"2020-10-13";"20:13:20";"C";"";"File Nr. 503 | File Dev. ID #1, DIVING-PAM-II:  ";""
"790055";"2020-10-13";"20:26:30";"F";"12708";"257";"614";"0";"0.581";"0.0"
"795005";"2020-10-13";"20:26:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"797175";"2020-10-13";"20:26:37";"F";"12709";"216";"530";"0";"0.592";"0.0"
"802005";"2020-10-13";"20:26:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"802985";"2020-10-13";"20:26:42";"F";"12710";"184";"414";"0";"0.556";"0.0"
"807005";"2020-10-13";"20:26:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"808775";"2020-10-13";"20:26:48";"F";"12711";"274";"607";"0";"0.549";"0.0"
"813005";"2020-10-13";"20:26:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"816865";"2020-10-13";"20:26:56";"F";"12712";"202";"515";"0";"0.608";"0.0"
"821005";"2020-10-13";"20:27:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"827575";"2020-10-13";"20:27:07";"F";"12713";"237";"489";"0";"0.515";"0.0"
"832005";"2020-10-13";"20:27:12";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"836295";"2020-10-13";"20:27:16";"F";"12714";"222";"457";"0";"0.514";"0.0"
"840005";"2020-10-13";"20:27:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.5 ";""
"842305";"2020-10-13";"20:27:22";"F";"12715";"207";"522";"0";"0.603";"0.0"
"847005";"2020-10-13";"20:27:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"847645";"2020-10-13";"20:27:27";"F";"12716";"245";"655";"0";"0.626";"0.0"
"852005";"2020-10-13";"20:27:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"855455";"2020-10-13";"20:27:35";"F";"12717";"264";"588";"0";"0.551";"0.0"
"859185";"2020-10-13";"20:27:39";"F";"12718";"235";"516";"0";"0.545";"0.0"
"860005";"2020-10-13";"20:27:40";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"864005";"2020-10-13";"20:27:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"865125";"2020-10-13";"20:27:45";"F";"12719";"270";"616";"0";"0.562";"0.0"
"870005";"2020-10-13";"20:27:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"878985";"2020-10-13";"20:27:58";"F";"12720";"194";"508";"0";"0.618";"0.0"
"883005";"2020-10-13";"20:28:03";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"894705";"2020-10-13";"20:28:14";"F";"12721";"189";"544";"0";"0.653";"0.0"
"897135";"2020-10-13";"20:28:17";"F";"12722";"239";"616";"0";"0.612";"0.0"
"899005";"2020-10-13";"20:28:19";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"903005";"2020-10-13";"20:28:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"913175";"2020-10-13";"20:28:33";"F";"12723";"272";"642";"0";"0.576";"0.0"
"916475";"2020-10-13";"20:28:36";"F";"12724";"246";"596";"0";"0.587";"0.0"
"918005";"2020-10-13";"20:28:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"921005";"2020-10-13";"20:28:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"921285";"2020-10-13";"20:28:41";"F";"12725";"199";"473";"0";"0.579";"0.0"
"926005";"2020-10-13";"20:28:46";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"937625";"2020-10-13";"20:28:57";"F";"12726";"184";"431";"0";"0.573";"0.0"
"941005";"2020-10-13";"20:29:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"945705";"2020-10-13";"20:29:05";"F";"12727";"231";"572";"0";"0.596";"0.0"
"948215";"2020-10-13";"20:29:08";"F";"12728";"255";"560";"0";"0.545";"0.0"
"950005";"2020-10-13";"20:29:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"952075";"2020-10-13";"20:29:12";"F";"12729";"286";"576";"0";"0.503";"0.0"
"953005";"2020-10-13";"20:29:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"955975";"2020-10-13";"20:29:15";"F";"12730";"313";"583";"0";"0.463";"0.0"
"957005";"2020-10-13";"20:29:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"960005";"2020-10-13";"20:29:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"962365";"2020-10-13";"20:29:22";"F";"12731";"215";"682";"0";"0.685";"0.0"
"967005";"2020-10-13";"20:29:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"972955";"2020-10-13";"20:29:32";"F";"12732";"250";"896";"0";"0.721";"0.0"
"976005";"2020-10-13";"20:29:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"988845";"2020-10-13";"20:29:48";"F";"12733";"178";"540";"0";"0.670";"0.0"
"993005";"2020-10-13";"20:29:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1003685";"2020-10-13";"20:30:03";"F";"12734";"200";"548";"0";"0.635";"0.0"
"1007005";"2020-10-13";"20:30:07";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"1012395";"2020-10-13";"20:30:12";"F";"12735";"245";"684";"0";"0.642";"0.0"
"1017005";"2020-10-13";"20:30:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1017285";"2020-10-13";"20:30:17";"F";"12736";"282";"627";"0";"0.550";"0.0"
"1022005";"2020-10-13";"20:30:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1023125";"2020-10-13";"20:30:23";"F";"12737";"284";"634";"0";"0.552";"0.0"
"1027005";"2020-10-13";"20:30:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1030765";"2020-10-13";"20:30:30";"F";"12738";"284";"681";"0";"0.583";"0.0"
"1035005";"2020-10-13";"20:30:35";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.6 ";""
"1038405";"2020-10-13";"20:30:38";"F";"12739";"231";"535";"0";"0.568";"0.0"
"1043005";"2020-10-13";"20:30:43";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1044985";"2020-10-13";"20:30:44";"F";"12740";"183";"521";"0";"0.649";"0.0"
"1049005";"2020-10-13";"20:30:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1050855";"2020-10-13";"20:30:50";"F";"12741";"171";"422";"0";"0.595";"0.0"
"1050860";"2020-10-13";"20:30:50";"SCHE";"";"Chart stop ";""
"1055005";"2020-10-13";"20:30:55";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1061000";"2020-10-13";"20:31:00";"SCHS";"";"Chart start ";""
"1061005";"2020-10-13";"20:31:01";"C";"";"File Nr. 505 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1070005";"2020-10-13";"20:31:10";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1098675";"2020-10-13";"20:31:38";"F";"12742";"8";"20";"0";"-";"-"
"1102005";"2020-10-13";"20:31:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1108335";"2020-10-13";"20:31:48";"F";"12743";"10";"22";"0";"-";"-"
"1112005";"2020-10-13";"20:31:52";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1117925";"2020-10-13";"20:31:57";"F";"12744";"12";"28";"0";"-";"-"
"1122005";"2020-10-13";"20:32:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1133965";"2020-10-13";"20:32:13";"F";"12745";"13";"22";"0";"-";"-"
"1137005";"2020-10-13";"20:32:17";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1140525";"2020-10-13";"20:32:20";"F";"12746";"6";"24";"0";"-";"-"
"1144005";"2020-10-13";"20:32:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1154495";"2020-10-13";"20:32:34";"F";"12747";"1";"21";"0";"-";"-"
"1158005";"2020-10-13";"20:32:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1161575";"2020-10-13";"20:32:41";"F";"12748";"11";"18";"0";"-";"-"
"1165005";"2020-10-13";"20:32:45";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1166835";"2020-10-13";"20:32:46";"F";"12749";"15";"19";"0";"-";"-"
"1170005";"2020-10-13";"20:32:50";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1172535";"2020-10-13";"20:32:52";"F";"12750";"10";"19";"0";"-";"-"
"1176005";"2020-10-13";"20:32:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1178205";"2020-10-13";"20:32:58";"F";"12751";"13";"20";"0";"-";"-"
"1182005";"2020-10-13";"20:33:02";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1192085";"2020-10-13";"20:33:12";"F";"12752";"9";"20";"0";"-";"-"
"1196005";"2020-10-13";"20:33:16";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1199025";"2020-10-13";"20:33:19";"F";"12753";"8";"18";"0";"-";"-"
"1203005";"2020-10-13";"20:33:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1208405";"2020-10-13";"20:33:28";"F";"12754";"9";"19";"0";"-";"-"
"1212005";"2020-10-13";"20:33:32";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1214315";"2020-10-13";"20:33:34";"F";"12755";"7";"19";"0";"-";"-"
"1218005";"2020-10-13";"20:33:38";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1223025";"2020-10-13";"20:33:43";"F";"12756";"13";"30";"0";"-";"-"
"1227005";"2020-10-13";"20:33:47";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1231385";"2020-10-13";"20:33:51";"F";"12757";"10";"26";"0";"-";"-"
"1236005";"2020-10-13";"20:33:56";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1240755";"2020-10-13";"20:34:00";"F";"12758";"11";"15";"0";"-";"-"
"1244005";"2020-10-13";"20:34:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1250345";"2020-10-13";"20:34:10";"F";"12759";"8";"21";"0";"-";"-"
"1254005";"2020-10-13";"20:34:14";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.8 ";""
"1258185";"2020-10-13";"20:34:18";"F";"12760";"8";"17";"0";"-";"-"
"1262005";"2020-10-13";"20:34:22";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1265165";"2020-10-13";"20:34:25";"F";"12761";"8";"20";"0";"-";"-"
"1269005";"2020-10-13";"20:34:29";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1272375";"2020-10-13";"20:34:32";"F";"12762";"10";"18";"0";"-";"-"
"1276005";"2020-10-13";"20:34:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.8 ";""
"1280965";"2020-10-13";"20:34:40";"F";"12763";"9";"19";"0";"-";"-"
"1280970";"2020-10-13";"20:34:40";"SCHE";"";"Chart stop ";""
"1284005";"2020-10-13";"20:34:44";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.7 ";""
"1371000";"2020-10-13";"20:36:10";"SCHS";"";"Chart start ";""
"1371005";"2020-10-13";"20:36:11";"C";"";"File Nr. 506 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1435205";"2020-10-13";"20:37:15";"F";"12764";"185";"409";"0";"0.548";"0.0"
"1440005";"2020-10-13";"20:37:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.8 ";""
"1446765";"2020-10-13";"20:37:26";"F";"12765";"218";"608";"0";"0.641";"0.0"
"1451005";"2020-10-13";"20:37:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 30.8 ";""
"1451775";"2020-10-13";"20:37:31";"F";"12766";"347";"940";"0";"0.631";"0.0"
"1455785";"2020-10-13";"20:37:35";"F";"12767";"333";"890";"0";"0.626";"0.0"
