geno,f,fm,fvfm,tank_id,tank_set,max_temp
CRF047,265,803,0.67,S6,starboard,33
CRF055,274,734,0.627,S6,starboard,33
CRF055,200,518,0.614,S6,starboard,33
CRF119,240,694,0.654,S6,starboard,33
CRF119,219,623,0.648,S6,starboard,33
CRF031,218,622,0.65,S6,starboard,33
CRF031,253,734,0.655,S6,starboard,33
CRF068,254,736,0.655,S6,starboard,33
CRF068,228,708,0.678,S6,starboard,33
CRF066,309,666,0.536,S6,starboard,33
CRF066,291,868,0.665,S6,starboard,33
CRF082,365,1019,0.642,S6,starboard,33
CRF082,270,665,0.594,S6,starboard,33
CRF020,214,569,0.624,S6,starboard,33
CRF020,218,595,0.634,S6,starboard,33
CRF099,306,848,0.639,S6,starboard,33
CRF099,141,491,0.713,S6,starboard,33
CRF007,194,543,0.643,S6,starboard,33
CRF007,167,400,0.583,S6,starboard,33
CRF028,226,801,0.718,S6,starboard,33
CRF028,240,759,0.684,S6,starboard,33
CRF042,243,685,0.645,S6,starboard,33
CRF042,249,786,0.683,S6,starboard,33
CRF010,230,618,0.628,S6,starboard,33
CRF010,188,497,0.622,S6,starboard,33
CRF074,167,497,0.664,S6,starboard,33
CRF074,206,551,0.626,S6,starboard,33
CRF013,190,517,0.632,S6,starboard,33
CRF013,207,609,0.66,S6,starboard,33
CRF069,171,495,0.655,S7,starboard,32
CRF069,231,616,0.625,S7,starboard,32
CRF052,292,775,0.623,S7,starboard,32
CRF052,306,816,0.625,S7,starboard,32
CRF023,275,834,0.67,S7,starboard,32
CRF023,293,834,0.649,S7,starboard,32
CRF048,284,783,0.637,S7,starboard,32
CRF048,230,589,0.61,S7,starboard,32
CRF102,257,753,0.659,S7,starboard,32
CRF102,280,784,0.643,S7,starboard,32
CRF086,196,497,0.606,S7,starboard,32
CRF086,178,507,0.649,S7,starboard,32
CRF059,254,702,0.638,S7,starboard,32
CRF059,227,581,0.609,S7,starboard,32
CRF047,257,680,0.622,S7,starboard,32
CRF047,271,679,0.601,S7,starboard,32
CRF055,228,642,0.645,S7,starboard,32
