geno,rec,f,fm,fvfm,tank_id,tank_set,max_temp
CN2,9615,246,601,0.591,S8,starboard,30
CN2,9616,319,738,0.568,S8,starboard,30
175,9629,302,782,0.614,S8,starboard,30
175,9618,293,818,0.642,S8,starboard,30
156,9619,241,756,0.681,S8,starboard,30
156,9620,402,1051,0.618,S8,starboard,30
170B,9621,164,303,0.459,S8,starboard,30
170B,9622,247,667,0.63,S8,starboard,30
165,9623,334,903,0.63,S8,starboard,30
165,9624,170,621,0.726,S8,starboard,30
161,9625,169,598,0.717,S8,starboard,30
161,9626,50,139,0.64,S8,starboard,30
154,9627,240,896,0.732,S8,starboard,30
154,9628,256,667,0.616,S8,starboard,30
163,9653,149,564,0.736,P8,port,30
163,9654,111,354,0.686,P8,port,30
168,9655,411,964,0.574,P8,port,30
168,9656,222,586,0.621,P8,port,30
PK10,9657,216,973,0.778,P8,port,30
PK10,9658,365,1098,0.668,P8,port,30
178,9659,337,912,0.63,P8,port,30
178,9660,382,963,0.603,P8,port,30
26,9661,262,1141,0.77,P8,port,30
26,9662,351,1253,0.72,P8,port,30
159,9663,337,1079,0.688,P8,port,30
159,9664,347,990,0.649,P8,port,30
170A,9665,249,772,0.677,P8,port,30
170A,9666,382,996,0.616,P8,port,30
172,9667,197,528,0.627,P8,port,30
172,9668,206,826,0.751,P8,port,30
155,9669,87,329,0.736,P8,port,30
155,9671,314,839,0.626,P8,port,30
10,9673,348,815,0.573,P8,port,30
10,9674,303,776,0.61,P8,port,30
183,9675,477,1262,0.622,P8,port,30
183,9676,472,1312,0.64,P8,port,30
160,9677,198,696,0.716,P8,port,30
160,9678,289,864,0.666,P8,port,30
CN4,9680,298,727,0.59,P8,port,30
CN4,9681,461,1262,0.635,P8,port,30
176A,9682,321,899,0.643,P8,port,30
176A,9683,283,790,0.642,P8,port,30
179,9685,260,579,0.551,P8,port,30
179,9686,273,719,0.62,P8,port,30
M3,9687,320,1140,0.719,P8,port,30
M3,9688,301,976,0.692,P8,port,30
157,9689,363,1144,0.683,P8,port,30
157,9690,375,1036,0.638,P8,port,30
153,9692,391,999,0.609,P8,port,30
153,9693,322,978,0.671,P8,port,30
164,9696,257,1070,0.76,P8,port,30
164,9697,375,1133,0.669,P8,port,30
HS1,9698,353,934,0.622,P8,port,30
HS1,9699,330,930,0.645,P8,port,30
M2,9700,223,534,0.582,P8,port,30
M2,9701,246,580,0.576,P8,port,30
163,9726,131,310,0.577,P5,port,34
163,9728,289,561,0.485,P5,port,34
168,9729,824,1594,0.483,P5,port,34
168,9730,708,1793,0.605,P5,port,34
PK10,9731,775,1780,0.565,P5,port,34
PK10,9732,367,859,0.573,P5,port,34
178,9733,447,1070,0.582,P5,port,34
178,9734,380,974,0.61,P5,port,34
