"2020-10-07";"00:17:00";"WinControl (rev 1112) report file"
"Time (rel/ms)";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"0";"";"";"D";"";"Device Nr: #1, DIVING-PAM-II (UWFD0100A) ";""
"0";"2020-10-06";"21:00:01";"SCHS";"";"Chart start ";""
"922005";"2020-10-06";"21:15:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"929345";"2020-10-06";"21:15:31";"F";"9766";"279";"719";"0";"0.612";"0.0"
"934005";"2020-10-06";"21:15:36";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"936945";"2020-10-06";"21:15:38";"F";"9767";"412";"932";"0";"0.558";"0.0"
"940005";"2020-10-06";"21:15:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"943725";"2020-10-06";"21:15:45";"F";"9768";"271";"859";"0";"0.685";"0.0"
"947005";"2020-10-06";"21:15:49";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"954035";"2020-10-06";"21:15:56";"F";"9769";"350";"857";"0";"0.592";"0.0"
"959005";"2020-10-06";"21:16:01";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"960415";"2020-10-06";"21:16:02";"F";"9770";"304";"1119";"0";"0.728";"0.0"
"964005";"2020-10-06";"21:16:06";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"971905";"2020-10-06";"21:16:13";"F";"9771";"377";"1025";"0";"0.632";"0.0"
"976005";"2020-10-06";"21:16:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"977865";"2020-10-06";"21:16:19";"F";"9772";"265";"743";"0";"0.643";"0.0"
"977870";"2020-10-06";"21:16:19";"SCHE";"";"Chart stop ";""
"982005";"2020-10-06";"21:16:24";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1113000";"2020-10-06";"21:18:34";"SCHS";"";"Chart start ";""
"1113005";"2020-10-06";"21:18:35";"C";"";"File Nr. 405 | File Dev. ID #1, DIVING-PAM-II:  ";""
"1176065";"2020-10-06";"21:19:38";"F";"9773";"10";"22";"0";"-";"-"
"1180005";"2020-10-06";"21:19:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1187725";"2020-10-06";"21:19:49";"F";"9774";"14";"30";"0";"-";"-"
"1192005";"2020-10-06";"21:19:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1216375";"2020-10-06";"21:20:18";"F";"9775";"23";"40";"0";"-";"-"
"1221005";"2020-10-06";"21:20:23";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.8 ";""
"1257955";"2020-10-06";"21:20:59";"F";"9776";"57";"87";"0";"0.345";"0.0"
"1262005";"2020-10-06";"21:21:04";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1281595";"2020-10-06";"21:21:23";"F";"9777";"29";"61";"0";"0.525";"0.0"
"1285005";"2020-10-06";"21:21:27";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1306365";"2020-10-06";"21:21:48";"F";"9778";"10";"50";"0";"0.800";"0.0"
"1311005";"2020-10-06";"21:21:53";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1328145";"2020-10-06";"21:22:10";"F";"9779";"15";"57";"0";"0.737";"0.0"
"1333005";"2020-10-06";"21:22:15";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1367095";"2020-10-06";"21:22:49";"F";"9780";"19";"54";"0";"0.648";"0.0"
"1372005";"2020-10-06";"21:22:54";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1394145";"2020-10-06";"21:23:16";"F";"9781";"33";"63";"0";"0.476";"0.0"
"1398005";"2020-10-06";"21:23:20";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1439565";"2020-10-06";"21:24:01";"F";"9782";"164";"195";"0";"0.159";"0.0"
"1444005";"2020-10-06";"21:24:06";"SPEC";"";"PAR: - 32768; Depth: 0.0; Temp.: 31.9 ";""
"1451305";"2020-10-06";"21:24:13";"F";"9783";"175";"210";"0";"0.167";"0.0"
"1456005";"2020-10-06";"21:24:18";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1467865";"2020-10-06";"21:24:29";"F";"9784";"44";"63";"0";"0.302";"0.0"
"1472005";"2020-10-06";"21:24:34";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1474215";"2020-10-06";"21:24:36";"F";"9785";"95";"147";"0";"0.354";"0.0"
"1479005";"2020-10-06";"21:24:41";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1484535";"2020-10-06";"21:24:46";"F";"9786";"10";"54";"0";"0.815";"0.0"
"1489005";"2020-10-06";"21:24:51";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1493165";"2020-10-06";"21:24:55";"F";"9787";"16";"46";"0";"-";"-"
"1498005";"2020-10-06";"21:25:00";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1506465";"2020-10-06";"21:25:08";"F";"9788";"14";"37";"0";"-";"-"
"1511005";"2020-10-06";"21:25:13";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 32.0 ";""
"1514695";"2020-10-06";"21:25:16";"F";"9789";"6";"53";"0";"-";"-"
"1519005";"2020-10-06";"21:25:21";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1524645";"2020-10-06";"21:25:26";"F";"9790";"26";"55";"0";"0.527";"0.0"
"1529005";"2020-10-06";"21:25:31";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1535355";"2020-10-06";"21:25:37";"F";"9791";"54";"78";"0";"0.308";"0.0"
"1540005";"2020-10-06";"21:25:42";"SPEC";"";"PAR: - 32768; Depth: 0.1; Temp.: 31.9 ";""
"1547475";"2020-10-06";"21:25:49";"F";"9792";"121";"155";"0";"0.219";"0.0"
